trial,block,left_object,left_classification,right_object,right_classification,larger_side,larger_object,smaller_object,larger_is_more_dangerous
57,L>N,N31,nonliving,L8,living,right,L8,N31,no
58,L>N,L60,living,N10,nonliving,left,L60,N10,no
59,L>N,N34,nonliving,L53,living,right,L53,N34,no
60,L>N,N40,nonliving,L54,living,right,L54,N40,no
61,N>L,L10,living,N49,nonliving,right,N49,L10,yes
62,N>L,L48,living,N27,nonliving,right,N27,L48,yes
63,N>L,L50,living,N25,nonliving,right,N25,L50,yes
64,N>L,N29,nonliving,L42,living,left,N29,L42,yes
65,N>L,L11,living,N46,nonliving,right,N46,L11,yes
66,N>L,L2,living,N22,nonliving,right,N22,L2,yes
67,N>L,N35,nonliving,L5,living,left,N35,L5,yes
68,N>L,N38,nonliving,L3,living,left,N38,L3,yes
69,N>L,N6,nonliving,L1,living,left,N6,L1,yes
70,N>L,N30,nonliving,L47,living,left,N30,L47,yes
71,N>L,L43,living,N26,nonliving,right,N26,L43,yes
72,N>L,N54,nonliving,L7,living,left,N54,L7,yes
73,N>L,N41,nonliving,L4,living,left,N41,L4,yes
74,N>L,L6,living,N21,nonliving,right,N21,L6,yes
75,N>L,N15,nonliving,L14,living,left,N15,L14,yes
76,N>L,L32,living,N11,nonliving,right,N11,L32,no
77,N>L,N58,nonliving,L40,living,left,N58,L40,no
78,N>L,N56,nonliving,L16,living,left,N56,L16,no
79,N>L,L37,living,N20,nonliving,right,N20,L37,no
80,N>L,L15,living,N59,nonliving,right,N59,L15,no
81,N>L,L35,living,N17,nonliving,right,N17,L35,no
82,N>L,N51,nonliving,L44,living,left,N51,L44,no
83,N>L,L23,living,N23,nonliving,right,N23,L23,no
84,N>L,N60,nonliving,L20,living,left,N60,L20,no
85,N>L,L33,living,N52,nonliving,right,N52,L33,no
86,N>L,N55,nonliving,L46,living,left,N55,L46,no
87,N>L,N5,nonliving,L34,living,left,N5,L34,no
88,N>L,N19,nonliving,L38,living,left,N19,L38,no
89,N>L,L31,living,N37,nonliving,right,N37,L31,no
90,N>L,L22,living,N57,nonliving,right,N57,L22,no
91,N-N,N47,nonliving,N29,nonliving,right,N29,N47,yes
92,N-N,N15,nonliving,N51,nonliving,right,N51,N15,no
93,N-N,N8,nonliving,N33,nonliving,left,N8,N33,no
94,N-N,N20,nonliving,N19,nonliving,left,N20,N19,yes
95,N-N,N59,nonliving,N60,nonliving,right,N60,N59,no
96,N-N,N42,nonliving,N57,nonliving,right,N57,N42,no
97,N-N,N53,nonliving,N25,nonliving,right,N25,N53,yes
98,N-N,N3,nonliving,N1,nonliving,left,N3,N1,yes
99,N-N,N18,nonliving,N13,nonliving,left,N18,N13,yes
100,N-N,N14,nonliving,N35,nonliving,left,N14,N35,no
101,N-N,N6,nonliving,N36,nonliving,right,N36,N6,yes
102,N-N,N56,nonliving,N54,nonliving,left,N56,N54,no
103,N-N,N16,nonliving,N49,nonliving,right,N49,N16,no
104,N-N,N34,nonliving,N38,nonliving,right,N38,N34,no
105,N-N,N24,nonliving,N45,nonliving,left,N24,N45,yes
106,N-N,N23,nonliving,N26,nonliving,right,N26,N23,yes
107,N-N,N37,nonliving,N30,nonliving,right,N30,N37,yes
108,N-N,N7,nonliving,N17,nonliving,right,N17,N7,yes
109,N-N,N46,nonliving,N41,nonliving,left,N46,N41,no
110,N-N,N22,nonliving,N32,nonliving,left,N22,N32,no
111,N-N,N39,nonliving,N28,nonliving,right,N28,N39,yes
112,N-N,N48,nonliving,N10,nonliving,left,N48,N10,yes
113,N-N,N9,nonliving,N50,nonliving,right,N50,N9,yes
114,N-N,N43,nonliving,N44,nonliving,right,N44,N43,no
115,N-N,N12,nonliving,N2,nonliving,left,N12,N2,yes
116,N-N,N52,nonliving,N40,nonliving,left,N52,N40,no
117,N-N,N11,nonliving,N4,nonliving,left,N11,N4,yes
118,N-N,N55,nonliving,N21,nonliving,left,N55,N21,no
119,N-N,N5,nonliving,N31,nonliving,left,N5,N31,no
120,N-N,N27,nonliving,N58,nonliving,right,N58,N27,no
